Country,EdLevel,YearsCodePro,Salary
15,1,5.0,52138.0
5,0,6.0,62112.0
8,1,16.0,42836.0
5,0,8.0,80317.0
5,1,20.0,72607.0
1,2,23.0,28403.0
5,3,7.0,53116.0
7,0,13.0,96220.0
11,1,12.0,81349.0
16,1,42.0,150000.0
9,2,5.0,64254.0
6,0,2.0,11511.0
16,2,10.0,165000.0
11,0,2.0,38282.0
8,3,3.0,25701.0
9,0,1.0,32127.0
5,0,3.0,69608.0
4,0,15.0,149925.0
9,0,10.0,78175.0
9,2,23.0,117798.0
5,2,11.0,74963.0
8,2,3.0,33198.0
16,1,27.0,111420.0
4,3,6.0,96381.0
9,2,2.0,48190.0
1,3,5.0,14303.0
1,2,3.0,56805.0
4,2,8.0,107090.0
16,3,28.0,160000.0
13,1,12.0,46439.0
16,0,17.0,148000.0
13,0,5.0,50678.0
10,2,3.0,63429.0
15,0,2.0,43448.0
5,2,22.0,74963.0
1,2,6.0,44633.0
5,2,22.0,104343.0
15,2,7.0,68276.0
6,2,11.0,52345.0
6,0,11.0,21810.0
16,0,21.0,120000.0
16,1,19.0,120000.0
8,1,0.5,21418.0
4,0,10.0,44978.0
16,2,26.0,240000.0
5,1,23.0,58006.0
5,2,12.0,91026.0
2,1,7.0,68403.0
16,2,10.0,250000.0
14,0,7.0,119034.0
6,0,6.0,19387.0
4,2,11.0,58899.0
15,1,5.0,57104.0
5,0,25.0,91026.0
5,0,13.0,171343.0
14,3,5.0,57312.0
16,0,10.0,170000.0
6,1,2.0,23131.0
16,0,31.0,150000.0
9,2,22.0,80317.0
2,2,10.0,148703.0
14,2,13.0,159814.0
9,0,10.0,78711.0
5,0,3.0,92097.0
16,0,1.0,73000.0
16,2,3.0,72000.0
15,0,23.0,47173.0
5,2,3.0,74963.0
16,3,0.5,50000.0
9,0,8.0,107090.0
16,1,5.0,40000.0
1,2,15.0,22398.0
5,2,6.0,59970.0
9,1,5.0,48190.0
5,2,3.0,53545.0
2,3,20.0,204466.0
1,0,15.0,169000.0
16,1,5.0,110000.0
4,2,8.0,128507.0
14,2,7.0,110216.0
16,2,14.0,100000.0
5,0,3.0,47548.0
13,3,11.0,57128.0
5,2,25.0,128507.0
15,0,8.0,148966.0
16,1,23.0,110000.0
6,0,4.0,13329.0
16,0,11.0,125000.0
8,3,6.0,42836.0
0,0,9.0,92545.0
6,0,6.0,14540.0
5,0,10.0,91026.0
5,2,17.0,144571.0
12,3,13.0,29985.0
4,0,7.0,72821.0
2,0,6.0,70634.0
15,2,6.0,105517.0
16,0,8.0,170000.0
14,2,7.0,165324.0
5,2,16.0,64254.0
16,0,5.0,120000.0
5,2,7.0,104948.0
16,0,12.0,200000.0
16,0,8.0,150000.0
6,2,19.0,53314.0
16,2,1.0,77062.0
16,0,17.0,163000.0
5,3,25.0,107090.0
16,0,24.0,235000.0
5,0,1.0,39623.0
14,2,18.0,148792.0
12,1,6.0,58899.0
5,2,30.0,85672.0
14,0,6.0,137770.0
2,0,22.0,81787.0
9,3,8.0,89570.0
2,0,11.0,118962.0
5,2,4.0,51403.0
16,0,11.0,130000.0
9,0,10.0,69608.0
12,2,13.0,69608.0
12,0,3.0,49797.0
15,0,4.0,52138.0
1,0,9.0,81150.0
16,0,2.0,90000.0
5,0,11.0,48190.0
5,0,5.0,85672.0
5,2,3.0,75177.0
15,2,4.0,117931.0
16,0,36.0,208000.0
16,0,10.0,235000.0
8,1,15.0,69608.0
4,2,10.0,74963.0
6,2,5.0,12117.0
12,2,5.0,34804.0
5,2,12.0,96381.0
16,1,11.0,150000.0
15,0,2.0,70759.0
9,3,7.0,91026.0
3,0,19.0,100649.0
5,0,20.0,48190.0
16,0,3.0,92000.0
1,1,15.0,17105.0
3,0,13.0,104963.0
14,2,25.0,132260.0
5,2,13.0,70679.0
16,1,6.0,72500.0
4,2,9.0,74963.0
8,2,6.0,44978.0
16,0,5.0,120000.0
16,2,30.0,250000.0
8,0,5.0,21418.0
16,0,12.0,139000.0
5,1,3.0,58899.0
8,2,7.0,37481.0
9,0,4.0,38167.0
2,2,16.0,245360.0
2,3,12.0,118962.0
5,1,10.0,40480.0
14,2,18.0,121238.0
5,0,6.0,64254.0
16,0,6.0,165000.0
5,0,7.0,69608.0
16,0,39.0,144000.0
16,0,27.0,220000.0
16,0,9.0,185000.0
8,2,4.0,42836.0
4,2,4.0,53545.0
9,2,25.0,42836.0
5,0,3.0,51403.0
15,0,4.0,90062.0
15,0,21.0,62069.0
16,2,26.0,246000.0
15,2,4.0,136552.0
15,0,12.0,173793.0
15,0,1.0,39724.0
5,2,4.0,64254.0
8,2,18.0,57828.0
16,0,11.0,100000.0
6,2,8.0,26657.0
2,0,4.0,74351.0
15,0,6.0,68276.0
16,1,36.0,128000.0
16,0,33.0,205000.0
16,0,2.0,117000.0
16,3,12.0,170000.0
16,0,0.5,85000.0
4,0,11.0,109231.0
16,0,22.0,161000.0
16,3,15.0,135000.0
5,0,11.0,64254.0
13,0,6.0,73713.0
16,0,2.0,105000.0
2,2,0.5,69147.0
16,3,20.0,225000.0
15,0,6.0,99311.0
10,2,31.0,77927.0
15,0,24.0,55862.0
16,1,8.0,85000.0
5,3,10.0,85672.0
16,3,7.0,172000.0
2,2,20.0,81787.0
16,3,5.0,94000.0
1,0,4.0,24345.0
9,1,16.0,64254.0
10,0,6.0,83364.0
13,0,2.0,40082.0
9,1,10.0,38552.0
2,0,4.0,79556.0
5,2,6.0,64254.0
16,0,29.0,200000.0
4,2,9.0,90491.0
9,2,3.0,58899.0
5,3,21.0,64254.0
2,2,18.0,102605.0
5,0,9.0,107090.0
5,0,8.0,98522.0
6,0,5.0,54359.0
16,0,5.0,150000.0
8,1,11.0,36410.0
5,2,15.0,107090.0
16,0,23.0,79000.0
11,3,3.0,40435.0
16,0,1.0,50000.0
5,2,11.0,77104.0
2,0,22.0,111527.0
12,1,7.0,62112.0
16,2,10.0,238000.0
16,3,8.0,120000.0
15,2,7.0,68276.0
16,0,6.0,75000.0
1,2,17.0,60863.0
9,3,2.0,25701.0
0,1,25.0,83952.0
2,0,30.0,66916.0
0,0,8.0,134521.0
5,1,3.0,30842.0
15,0,8.0,44690.0
5,2,5.0,85672.0
16,0,5.0,80000.0
11,0,2.0,43354.0
5,2,7.0,81388.0
11,2,2.0,28711.0
16,0,5.0,145000.0
9,0,13.0,57120.0
8,2,19.0,29985.0
14,0,4.0,104705.0
13,0,10.0,59892.0
3,0,6.0,64703.0
8,1,15.0,68537.0
15,2,2.0,48414.0
16,2,4.0,117000.0
5,0,13.0,75177.0
6,3,10.0,24234.0
16,0,0.5,61868.0
15,3,34.0,80690.0
16,0,14.0,175000.0
16,0,8.0,75000.0
16,0,11.0,168000.0
2,0,23.0,111527.0
15,0,40.0,91862.0
2,0,4.0,111527.0
16,1,15.0,130000.0
5,0,4.0,66396.0
5,2,5.0,96381.0
16,2,40.0,185000.0
14,2,3.0,126749.0
1,1,17.0,51600.0
8,3,18.0,37481.0
16,0,10.0,170000.0
15,0,11.0,121035.0
15,1,6.0,58966.0
2,2,26.0,111527.0
16,1,6.0,165000.0
16,0,16.0,168000.0
5,2,4.0,64254.0
16,0,2.0,130000.0
5,2,9.0,71750.0
5,1,2.0,12851.0
2,0,10.0,63199.0
16,0,10.0,80000.0
8,0,20.0,93168.0
16,0,11.0,117000.0
2,0,27.0,137550.0
16,0,15.0,39999.0
16,0,8.0,110000.0
2,1,2.0,118962.0
15,0,11.0,124138.0
16,0,20.0,138000.0
1,0,5.0,20288.0
16,2,7.0,103000.0
11,0,7.0,79588.0
14,3,3.0,110216.0
7,0,0.5,86598.0
5,2,5.0,23560.0
16,0,3.0,82000.0
16,1,4.0,120000.0
5,2,23.0,107090.0
2,0,10.0,96657.0
16,0,22.0,225000.0
16,2,5.0,115000.0
15,0,2.0,49655.0
16,2,8.0,175000.0
16,3,23.0,85000.0
0,2,16.0,165260.0
16,0,16.0,155000.0
8,3,3.0,42836.0
12,2,23.0,48190.0
6,0,10.0,48468.0
16,2,23.0,235000.0
5,1,3.0,50868.0
15,0,2.0,62069.0
8,1,13.0,37481.0
3,1,2.0,70742.0
16,0,4.0,160000.0
3,0,0.5,56076.0
12,0,15.0,54616.0
16,0,24.0,135000.0
5,2,25.0,69608.0
0,0,10.0,59494.0
12,2,8.0,66396.0
5,3,8.0,48833.0
12,0,2.0,26772.0
9,0,4.0,39516.0
11,2,9.0,107668.0
5,2,2.0,55687.0
16,0,8.0,200000.0
15,0,7.0,86897.0
3,2,4.0,104819.0
16,3,0.5,160000.0
16,0,10.0,175000.0
2,0,7.0,104092.0
4,2,3.0,42407.0
16,0,16.0,130000.0
9,2,30.0,64254.0
6,2,3.0,36351.0
15,3,0.5,52138.0
2,1,5.0,78069.0
6,2,4.0,12117.0
8,1,8.0,42836.0
4,2,4.0,44978.0
14,2,23.0,154303.0
0,0,0.5,78003.0
14,1,13.0,196185.0
3,0,5.0,92022.0
16,0,2.0,85000.0
16,0,10.0,250000.0
4,2,6.0,68537.0
16,2,13.0,200000.0
5,1,21.0,69608.0
16,0,2.0,76000.0
0,0,4.0,79325.0
15,0,2.0,40345.0
5,3,6.0,87813.0
16,1,4.0,93600.0
6,2,6.0,13329.0
16,1,12.0,138000.0
15,0,29.0,93104.0
8,0,10.0,66396.0
15,0,8.0,111724.0
5,0,5.0,59970.0
12,0,3.0,28914.0
